Field	Type	Null	Key	Default	Extra
id	bigint	NO	PRI	NULL	auto_increment
name	varchar(100)	NO		NULL	
category	varchar(50)	NO		NULL	
district	varchar(50)	YES		NULL	
address	varchar(200)	YES		NULL	
latitude	decimal(10,6)	YES		NULL	
longitude	decimal(10,6)	YES		NULL	
open_time	time	YES		NULL	
close_time	time	YES		NULL	
closed_weekdays	varchar(100)	YES		NULL	
temporarily_closed	tinyint(1)	NO		0	
status_note	varchar(255)	YES		NULL	
status_source	varchar(50)	NO		seed	
status_updated_at	datetime	NO		CURRENT_TIMESTAMP	DEFAULT_GENERATED
avg_cost	decimal(10,2)	YES		0.00	
stay_duration	int	NO		NULL	
indoor	tinyint(1)	YES		0	
night_available	tinyint(1)	YES		0	
rain_friendly	tinyint(1)	YES		0	
walking_level	varchar(20)	YES		жа	
tags	varchar(255)	YES		NULL	
suitable_for	varchar(255)	YES		NULL	
description	text	YES		NULL	
priority_score	decimal(4,2)	YES		3.00	
created_at	datetime	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
updated_at	datetime	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
created_by	bigint	YES		NULL	
updated_by	bigint	YES		NULL	
